# Document with the sample ids, reads ids, source of the bacteria, program under the sample has been extracted, microorganism
## Data from Denmark
	sample_ID	reads_ID	Source	Origin	Microorganism
181	M6425_S16	M6425_S16_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
182	M6426_S17	M6426_S17_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
183	M6428_S21	M6428_S21_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
184	M6429_S22	M6429_S22_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
185	M6430_S23	M6430_S23_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
186	M6431_S1	M6431_S1_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
187	M6432_S2	M6432_S2_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
188	M6433_S3	M6433_S3_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
189	M6434_S4	M6434_S4_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
190	M6435_S5	M6435_S5_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
191	M6437_S7	M6437_S7_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
