# Document with the sample ids, reads ids, source of the bacteria, program under the sample has been extracted, microorganism
## Data from Conneticut
## Confidential
,sample_ID,reads_ID,Source,Origin,Microorganism
264,SRR2407685,SRR2407685_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
265,SRR2407686,SRR2407686_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
266,SRR2407687,SRR2407687_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
267,SRR2407688,SRR2407688_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
268,SRR2407689,SRR2407689_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
269,SRR2407690,SRR2407690_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
270,SRR2407691,SRR2407691_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
271,SRR2407692,SRR2407692_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
272,SRR2407693,SRR2407693_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
273,SRR2407694,SRR2407694_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
274,SRR2407695,SRR2407695_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
275,SRR2407696,SRR2407696_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
276,SRR2407697,SRR2407697_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
277,SRR2407699,SRR2407699_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
278,SRR2407700,SRR2407700_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
279,SRR2407701,SRR2407701_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
280,SRR2407702,SRR2407702_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
281,SRR2407703,SRR2407703_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
282,SRR2407704,SRR2407704_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
283,SRR2407705,SRR2407705_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
284,SRR2407706,SRR2407706_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
285,SRR2407707,SRR2407707_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
286,SRR2407708,SRR2407708_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
287,SRR2407709,SRR2407709_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
288,SRR2407710,SRR2407710_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
289,SRR2407711,SRR2407711_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
290,SRR2407712,SRR2407712_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
291,SRR2407713,SRR2407713_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
292,SRR2407714,SRR2407714_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
